[MAIN        ] Simulation started.
[34124091 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34124091 ms]
[34124091 ms][SHIP        ] Loaded 1 P1. Travelling to F3... [34124091 ms]
[34124091 ms][SHIP        ] Waiting to unload at F3. F3 P1: 0/10 [34124091 ms]
[34124193 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34124193 ms]
[34124293 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34124293 ms]
[34124342 ms][SHIP        ] Unloaded 1 P1 to F3. Returning to F1... [34124342 ms]
[34124391 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34124391 ms]
[34124393 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34124393 ms]
[34124495 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34124495 ms]
[34124593 ms][SHIP        ] Loaded 4 P1. Travelling to F3... [34124593 ms]
[34124593 ms][SHIP        ] Waiting to unload at F3. F3 P1: 1/10 [34124593 ms]
[34124596 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34124596 ms]
[34124696 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34124696 ms]
[34124791 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34124791 ms]
[34124792 ms][TRUCK5      ] Loaded 2 P2. Travelling to F3... [34124792 ms]
[34124797 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34124797 ms]
[34124843 ms][SHIP        ] Unloaded 4 P1 to F3. Returning to F1... [34124843 ms]
[34124898 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34124898 ms]
[34124998 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34124998 ms]
[34125042 ms][TRUCK5      ] Unloaded 2 P2 to F3. Returning to F2... [34125042 ms]
[34125094 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34125094 ms]
[34125094 ms][SHIP        ] Waiting to unload at F3. F3 P1: 1/10 [34125094 ms]
[34125100 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34125100 ms]
[34125192 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34125192 ms]
[34125200 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34125200 ms]
[34125301 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34125301 ms]
[34125344 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34125344 ms]
[34125402 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34125402 ms]
[34125443 ms][F3-DPT2     ] Produced P3 unit 1 (consumed 2 P1 and 1 P2) [34125443 ms]
[34125443 ms][F3-DPT1     ] Produced P3 unit 2 (consumed 2 P1 and 1 P2) [34125443 ms]
[34125502 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34125502 ms]
[34125594 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34125594 ms]
[34125594 ms][TRUCK1      ] Loaded 2 P2. Travelling to F3... [34125594 ms]
[34125595 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34125595 ms]
[34125595 ms][SHIP        ] Waiting to unload at F3. F3 P1: 2/10 [34125595 ms]
[34125603 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34125603 ms]
[34125703 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34125703 ms]
[34125804 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34125804 ms]
[34125845 ms][TRUCK1      ] Unloaded 2 P2 to F3. Returning to F2... [34125845 ms]
[34125845 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34125845 ms]
[34125904 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34125904 ms]
[34125995 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34125995 ms]
[34126005 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34126005 ms]
[34126096 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34126096 ms]
[34126096 ms][SHIP        ] Waiting to unload at F3. F3 P1: 7/10 [34126096 ms]
[34126105 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34126105 ms]
[34126207 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34126207 ms]
[34126245 ms][F3-DPT2     ] Produced P3 unit 3 (consumed 2 P1 and 1 P2) [34126245 ms]
[34126245 ms][F3-DPT1     ] Produced P3 unit 4 (consumed 2 P1 and 1 P2) [34126245 ms]
[34126307 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34126307 ms]
[34126346 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34126346 ms]
[34126396 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34126396 ms]
[34126396 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34126396 ms]
[34126408 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34126408 ms]
[34126508 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34126508 ms]
[34126598 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34126598 ms]
[34126598 ms][SHIP        ] Waiting to unload at F3. F3 P1: 8/10 [34126598 ms]
[34126609 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34126609 ms]
[34126646 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34126646 ms]
[34126710 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34126710 ms]
[34126796 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34126796 ms]
[34126811 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34126811 ms]
[34126911 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34126911 ms]
[34127012 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34127012 ms]
[34127047 ms][F3-DPT1     ] Produced P3 unit 5 (consumed 2 P1 and 1 P2) [34127047 ms]
[34127048 ms][F3-DPT2     ] Produced P3 unit 6 (consumed 2 P1 and 1 P2) [34127048 ms]
[34127048 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34127048 ms]
[34127112 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34127112 ms]
[34127197 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34127197 ms]
[34127198 ms][TRUCK3      ] Loaded 2 P2. Travelling to F3... [34127198 ms]
[34127213 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34127213 ms]
[34127299 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34127299 ms]
[34127299 ms][SHIP        ] Waiting to unload at F3. F3 P1: 9/10 [34127299 ms]
[34127314 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34127314 ms]
[34127415 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34127415 ms]
[34127448 ms][TRUCK3      ] Unloaded 2 P2 to F3. Returning to F2... [34127448 ms]
[34127515 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34127515 ms]
[34127598 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34127598 ms]
[34127615 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34127615 ms]
[34127716 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34127716 ms]
[34127817 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34127817 ms]
[34127848 ms][F3-DPT2     ] Produced P3 unit 7 (consumed 2 P1 and 1 P2) [34127848 ms]
[34127849 ms][F3-DPT1     ] Produced P3 unit 8 (consumed 2 P1 and 1 P2) [34127849 ms]
[34127918 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34127918 ms]
[34128000 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34128000 ms]
[34128000 ms][TRUCK3      ] Loaded 2 P2. Travelling to F3... [34128000 ms]
[34128018 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34128018 ms]
[34128251 ms][TRUCK3      ] Unloaded 2 P2 to F3. Returning to F2... [34128251 ms]
[34128401 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34128401 ms]
[34128653 ms][F3-DPT2     ] Produced P3 unit 9 (consumed 2 P1 and 1 P2) [34128653 ms]
[34128653 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34128653 ms]
[34128653 ms][F3-DPT1     ] Produced P3 unit 10 (consumed 2 P1 and 1 P2) [34128653 ms]
[34128802 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34128802 ms]
[34128802 ms][TRUCK5      ] Loaded 2 P2. Travelling to F3... [34128802 ms]
[34128905 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34128905 ms]
[34128905 ms][SHIP        ] Waiting to unload at F3. F3 P1: 6/10 [34128905 ms]
[34128905 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34128905 ms]
[SCENARIO    ] Pausing F1 production...
[34129005 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34129005 ms]
[34129053 ms][TRUCK5      ] Unloaded 2 P2 to F3. Returning to F2... [34129053 ms]
[34129203 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34129203 ms]
[34129455 ms][F3-DPT1     ] Produced P3 unit 11 (consumed 2 P1 and 1 P2) [34129455 ms]
[34129455 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34129455 ms]
[34129455 ms][F3-DPT2     ] Produced P3 unit 12 (consumed 2 P1 and 1 P2) [34129455 ms]
[34129604 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34129604 ms]
[34129605 ms][TRUCK3      ] Loaded 2 P2. Travelling to F3... [34129605 ms]
[34129705 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34129705 ms]
[34129706 ms][SHIP        ] Waiting to unload at F3. F3 P1: 7/10 [34129706 ms]
[34129855 ms][TRUCK3      ] Unloaded 2 P2 to F3. Returning to F2... [34129855 ms]
[34130005 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34130005 ms]
[34130257 ms][F3-DPT1     ] Produced P3 unit 13 (consumed 2 P1 and 1 P2) [34130257 ms]
[34130258 ms][F3-DPT2     ] Produced P3 unit 14 (consumed 2 P1 and 1 P2) [34130258 ms]
[34130258 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34130258 ms]
[34130406 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34130406 ms]
[34130406 ms][TRUCK1      ] Loaded 2 P2. Travelling to F3... [34130406 ms]
[34130509 ms][SHIP        ] Loaded 2 P1. Travelling to F3... [34130509 ms]
[34130509 ms][SHIP        ] Waiting to unload at F3. F3 P1: 8/10 [34130509 ms]
[34130659 ms][TRUCK1      ] Unloaded 2 P2 to F3. Returning to F2... [34130659 ms]
[34130806 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34130806 ms]
[34131060 ms][F3-DPT1     ] Produced P3 unit 15 (consumed 2 P1 and 1 P2) [34131060 ms]
[34131061 ms][SHIP        ] Unloaded 2 P1 to F3. Returning to F1... [34131061 ms]
[34131061 ms][F3-DPT2     ] Produced P3 unit 16 (consumed 2 P1 and 1 P2) [34131061 ms]
[34131207 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34131207 ms]
[34131207 ms][TRUCK2      ] Loaded 2 P2. Travelling to F3... [34131207 ms]
[34131459 ms][TRUCK2      ] Unloaded 2 P2 to F3. Returning to F2... [34131459 ms]
[34131607 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34131607 ms]
[34131860 ms][F3-DPT2     ] Produced P3 unit 17 (consumed 2 P1 and 1 P2) [34131860 ms]
[34131861 ms][F3-DPT1     ] Produced P3 unit 18 (consumed 2 P1 and 1 P2) [34131861 ms]
[SCENARIO    ] Resumed F1 production.
[34132008 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34132008 ms]
[34132008 ms][TRUCK2      ] Loaded 2 P2. Travelling to F3... [34132008 ms]
[34132104 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34132104 ms]
[34132104 ms][SHIP        ] Loaded 1 P1. Travelling to F3... [34132104 ms]
[34132104 ms][SHIP        ] Waiting to unload at F3. F3 P1: 2/10 [34132104 ms]
[34132205 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34132205 ms]
[34132259 ms][TRUCK2      ] Unloaded 2 P2 to F3. Returning to F2... [34132259 ms]
[34132305 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34132305 ms]
[34132355 ms][SHIP        ] Unloaded 1 P1 to F3. Returning to F1... [34132355 ms]
[34132406 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34132406 ms]
[34132409 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34132409 ms]
[34132506 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34132506 ms]
[34132605 ms][SHIP        ] Loaded 4 P1. Travelling to F3... [34132605 ms]
[34132605 ms][SHIP        ] Waiting to unload at F3. F3 P1: 3/10 [34132605 ms]
[34132608 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34132608 ms]
[34132660 ms][F3-DPT2     ] Produced P3 unit 19 (consumed 2 P1 and 1 P2) [34132660 ms]
[34132660 ms][F3-DPT1     ] Produced P3 unit 20 (consumed 2 P1 and 1 P2) [34132660 ms]
[34132709 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34132709 ms]
[34132809 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34132809 ms]
